certificate_holder,mark_number,quality_logo,Descriptions,certificate_scope,certificate_data,certificate_holder_address,Final_url
ADMIRAL ENTERTAINMENT GmbH,9105066642,https://www.certipedia.com/logos/000/091/758/9105066642_en.png?1610013480,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 50001:2018","ISO 50001:
        Establishment of gaming centers. Installation and operation of gaming machines with associated services.
      
      
        ISO 9001:
        Establishment of gaming centers. Installation of slot machines in gaming centers and restaurants as well as technical services.
      
      
        Spielstätte:
        Regelmäßig geprüfte Spielstätte","Certificates for management system according to ISO 50001
Certificates for management system according to ISO 9001
Certificates for management system according to Spielstätte",ADMIRAL ENTERTAINMENT GmbHTheuerbach 3088630 PfullendorfGermany,https://www.certipedia.com/quality_marks/9105066642?locale=en&certificate_number=01+407+110366
"Administraciones Regius, S.L.P.",9105084971,https://www.certipedia.com/logos/000/174/374/9105084971_en.png?1561453142,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        -
      
      
        ISO 9001:
        -","Certificate for management system according to ISO 14001
Certificate for management system according to ISO 9001","Administraciones Regius, S.L.P.Ps. Fabra i Puig, 167, Pral.208016 BarcelonaSpain",https://www.certipedia.com/quality_marks/9105084971?locale=en&certificate_number=0%2E04%2E15330
ADMIRAL ENTERTAINMENT GmbH,9105066642,https://www.certipedia.com/logos/000/091/758/9105066642_en.png?1610013480,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 50001:2018","ISO 50001:
        Establishment of gaming centers. Installation and operation of gaming machines with associated services.
      
      
        ISO 9001:
        Establishment of gaming centers. Installation of slot machines in gaming centers and restaurants as well as technical services.
      
      
        Spielstätte:
        Regelmäßig geprüfte Spielstätte","Certificates for management system according to ISO 50001
Certificates for management system according to ISO 9001
Certificates for management system according to Spielstätte",ADMIRAL ENTERTAINMENT GmbHTheuerbach 3088630 PfullendorfGermany,https://www.certipedia.com/quality_marks/9105066642?locale=en&certificate_number=01+100+110366%2F226
"Adma Autocomponents Pvt. Ltd 36/P2,Hebbal 2nd Stage Behind Infosys",9108635780,https://www.certipedia.com,,"IATF 16949:
        Manufacture and Machining of Grey iron and Ductile iron Castings",,"Adma Autocomponents Pvt. Ltd36/P2,Hebbal 2nd StageBehind InfosysBelagola Industrial Area,Srirangapatna571606 Mandya DistrictIndia",https://www.certipedia.com/quality_marks/9108635780?locale=en&certificate_number=01+111+1737309
ADMIRAL ENTERTAINMENT GmbH,9105066642,https://www.certipedia.com/logos/000/091/758/9105066642_en.png?1610013480,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 50001:2018","ISO 50001:
        Establishment of gaming centers. Installation and operation of gaming machines with associated services.
      
      
        ISO 9001:
        Establishment of gaming centers. Installation of slot machines in gaming centers and restaurants as well as technical services.
      
      
        Spielstätte:
        Regelmäßig geprüfte Spielstätte","Certificates for management system according to ISO 50001
Certificates for management system according to ISO 9001
Certificates for management system according to Spielstätte",ADMIRAL ENTERTAINMENT GmbHTheuerbach 3088630 PfullendorfGermany,https://www.certipedia.com/quality_marks/9105066642?locale=en&certificate_number=01+100+110366%2F227
Adller Sp. z o.o.,9108649240,https://www.certipedia.com/logos/000/317/202/9108649240_en.png?1538482232,The certificate holder's Management System corresponds to standard GLOBALG.A.P..,"GLOBALG.A.P.:
        Chain of Custody",,Adller Sp. z o.o.ul. Sobieskiego 932-200 MiechówPoland,https://www.certipedia.com/quality_marks/9108649240?locale=en&certificate_number=0198+734+15796
Adler-Apotheke Sabine Fink e.K.,9108656007,https://www.certipedia.com,,"ISO 9001:
        -",Certificates for management system according to ISO 9001,Adler-ApothekeSabine Fink e.K.Theodor-Heuss-Str. 290765 FürthGermany,https://www.certipedia.com/quality_marks/9108656007?locale=en&certificate_number=01+100+1800718%2F02
Adler Polska Sp. z o.o.,9000016243,https://www.certipedia.com,,"IATF 16949:
        Design and manufacture of sound and heat insulating matrerials and components",Certificates for management system according to IATF 16949,Adler Polska Sp. z o.o.ul. Konwojowa 1043-346 Bielsko-BialaPoland,https://www.certipedia.com/quality_marks/9000016243?locale=en&certificate_number=01+111+2100129%2F03
Adlam Engineering (Pty) Ltd,9000003456,https://www.certipedia.com/logos/000/373/314/9000003456_en.png?1574837687,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Re-furbisher of industrial equipment providing engineering solutions, design, manufacturing, installation, commissioning and field service of alternative, or original, replacement parts, for related industry sectors",,Adlam Engineering (Pty) Ltdcnr Van Dyk & Reservoir Road1459 Boksburg EastSouth Africa,https://www.certipedia.com/quality_marks/9000003456?locale=en&certificate_number=01+100+1918061
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+100+2000460%2F109
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+100+2000460%2F105
ADK S.R.L.,9108637029,https://www.certipedia.com/logos/000/259/470/9108637029_en.png?1558121089,The certificate holder's Management System corresponds to standard ISO 9001:2015.,"ISO 9001:
        Design, Manufacture and Marketing of Packaging Machines.",,ADK S.R.L.Ruta Nac N°9 Esq. Derqui 02550 Bell VilleArgentina,https://www.certipedia.com/quality_marks/9108637029?locale=en&certificate_number=01+10006+1729653
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+100+2000460
Adjatech Sp. z o.o. Sp. k.,9108636311,https://www.certipedia.com/logos/000/253/678/9108636311_en.png?1497351468,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Production of castings made of aluminum, bronze, brass. Lettering.
      
      
        ISO 9001:
        Production of castings made of aluminum, bronze, brass. Lettering.","Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adjatech Sp. z o.o. Sp. k.ul. Piotra Ściegiennego 13960-304 PoznańPoland,https://www.certipedia.com/quality_marks/9108636311?locale=en&certificate_number=0198+100+14328
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F310
Adjatech Sp. z o.o. Sp. k.,9108636311,https://www.certipedia.com/logos/000/253/678/9108636311_en.png?1497351468,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Production of castings made of aluminum, bronze, brass. Lettering.
      
      
        ISO 9001:
        Production of castings made of aluminum, bronze, brass. Lettering.","Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adjatech Sp. z o.o. Sp. k.ul. Piotra Ściegiennego 13960-304 PoznańPoland,https://www.certipedia.com/quality_marks/9108636311?locale=en&certificate_number=0198+104+14329
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F410
Adjatech Sp. z o.o. Sp. k.,9108636311,https://www.certipedia.com/logos/000/253/678/9108636311_en.png?1497351468,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Production of castings made of aluminum, bronze, brass. Lettering.
      
      
        ISO 9001:
        Production of castings made of aluminum, bronze, brass. Lettering.","Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adjatech Sp. z o.o. Sp. k.ul. Piotra Ściegiennego 13960-304 PoznańPoland,https://www.certipedia.com/quality_marks/9108636311?locale=en&certificate_number=0198+100+14328%2F01
Adjatech Sp. z o.o. Sp. k.,9108636311,https://www.certipedia.com/logos/000/253/678/9108636311_en.png?1497351468,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Production of castings made of aluminum, bronze, brass. Lettering.
      
      
        ISO 9001:
        Production of castings made of aluminum, bronze, brass. Lettering.","Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adjatech Sp. z o.o. Sp. k.ul. Piotra Ściegiennego 13960-304 PoznańPoland,https://www.certipedia.com/quality_marks/9108636311?locale=en&certificate_number=0198+104+14329%2F01
ADIX-TRADE Kereskedelmi és Szolgáltató Kft.,9105021135,https://www.certipedia.com/logos/000/051/737/9105021135_en.png?1528725516,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Trade of bearings maintenance materials and the safety products
      
      
        ISO 9001:
        Trade of bearings maintenance materials and the safety products","Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",ADIX-TRADE Kereskedelmiés Szolgáltató Kft.Házgyár utca 17.4031 DebrecenHungary,https://www.certipedia.com/quality_marks/9105021135?locale=en&certificate_number=01+100+1724130%2F03
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F308
ADIX-TRADE Kereskedelmi és Szolgáltató Kft.,9105021135,https://www.certipedia.com/logos/000/051/737/9105021135_en.png?1528725516,"The certificate holder's Management System corresponds to standards:
          
              ISO 9001:2015
              ISO 14001:2015","ISO 14001:
        Trade of bearings maintenance materials and the safety products
      
      
        ISO 9001:
        Trade of bearings maintenance materials and the safety products","Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",ADIX-TRADE Kereskedelmiés Szolgáltató Kft.Házgyár utca 17.4031 DebrecenHungary,https://www.certipedia.com/quality_marks/9105021135?locale=en&certificate_number=01+104+1724130%2F02
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+104+2000460%2F501
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F408
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+104+2000460%2F307
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F200
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+104+2000460
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+104+2000460%2F504
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F301
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+104+2000460%2F601
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F201
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F000
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F302
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F205
Adler Pelzer Holding GmbH,9000008965,https://www.certipedia.com/logos/000/420/948/9000008965_en.png?1614854477,"The certificate holder's Management System corresponds to standards:
          
              IATF 16949:2016
              ISO 14001:2015","IATF 16949:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing
      
      
        ISO 14001:
        Development and manufacturing of multifunctional acoustic systems
      
      
        ISO 9001:
        Contract Review, Engineering, Human Resource, Information Technologies, Internal Audit Management, Laboratory, Management Review, Policy Making, Process Design, Product Design, Purchasing, Quality System Management, R & D, Sales, Strategic Planning, Supplier Management, Testing","Certificates for management system according to IATF 16949
Certificates for management system according to ISO 14001
Certificates for management system according to ISO 9001",Adler Pelzer Holding GmbHKabeler Str. 458099 HagenGermany,https://www.certipedia.com/quality_marks/9000008965?locale=en&certificate_number=01+111+2000460%2F405
